j ai ans .	i m .
il est faineant .	he is lazy .
il est paresseux .	he is lazy .
il est pauvre .	he is poor .
il est malade .	he is sick .
il est suisse .	he s swiss .
il est helvete .	he s swiss .
il est ruine .	he s broke .
il est fauche .	he s broke .
il est ivre .	he s drunk .
il est soul .	he s drunk .
il est intelligent .	he s smart .
je suis un homme .	i am a man .
je suis humain .	i am human .
je suis pret .	i am ready .
j ai raison .	i am right .
je suis desole .	i am sorry .
je suis desolee .	i am sorry .
je suis fatigue !	i am tired .
je suis creve .	i am tired .
j ai prepare du the .	i made tea .
j en ai fait deux .	i made two .
j en ai confectionne deux .	i made two .
je les ai rencontres .	i met them .
je les ai rencontrees .	i met them .
je les rencontrai .	i met them .
il me faut courir .	i must run .
je dois courir .	i must run .
je suis francais .	i m french .
je suis coreen .	i m korean .
je suis un heros .	i m a hero .
je suis un menteur .	i m a liar .
je cuis !	i m baking !
je vais mieux .	i m better .
je paie .	i m buying .
c est moi qui paie .	i m buying .
je suis grassouillet .	i m chubby .
je suis grassouillette .	i m chubby .
je mange .	i m eating .
je suis connu .	i m famous .
je suis connue .	i m famous .
je suis plus rapide .	i m faster .
je suis flasque .	i m flabby .
je suis cupide .	i m greedy .
je suis gourmand .	i m greedy .
je suis gourmande .	i m greedy .
je me cache .	i m hiding .
je suis honnete .	i m honest .
je suis humble .	i m humble .
j ai faim !	i m hungry !
j ai faim !	i m hungry .
je suis immunise .	i m immune .
je suis immunisee .	i m immune .
je suis au lit .	i m in bed .
je suis alite .	i m in bed .
je suis alitee .	i m in bed .
je rigole !	i m joking .
je suis saoul .	i m loaded .
je me sens seul .	i m lonely .
je me sens seule .	i m lonely .
je suis en train de perdre .	i m losing .
je suis en train de demenager .	i m moving .
je suis normal .	i m normal .
je suis normale .	i m normal .
c est moi qui paie .	i m paying .
je suis en train de payer .	i m paying .
je suis creve .	i m pooped .
je suis repose .	i m rested .
je suis reposee .	i m rested .
je suis ruine .	i m ruined .
je suis ruinee .	i m ruined .
je suis remue .	i m shaken .
je suis remuee .	i m shaken .
je suis celibataire .	i m single .
je suis maigrichon .	i m skinny .
je suis maigrichonne .	i m skinny .
je suis fatigue !	i m sleepy !
j ai sommeil !	i m sleepy !
je suis sournois .	i m sneaky .
je suis sournoise .	i m sneaky .
je suis strict .	i m strict .
je suis stricte .	i m strict .
je suis fort .	i m strong .
je suis forte .	i m strong .
j ai trente ans .	i m thirty .
je suis affaiblie .	i m wasted .
elle est vieille .	she is old .
elle a souri .	she smiled .
elle est occupee .	she s busy .
elle est gentille .	she s nice .
nous sommes des hommes .	we are men .
nous sommes de retour .	we re back .
nous sommes occupes .	we re busy .
nous sommes occupees .	we re busy .
nous avons fini .	we re done .
nous avons termine .	we re done .
nous en avons fini .	we re done .
nous en avons termine .	we re done .
nous sommes quittes .	we re even .
nous allons bien .	we re fine .
nous sommes ici .	we re here .
nous sommes la .	we re here .
nous sommes chez nous .	we re home .
nous sommes en retard .	we re late .
nous sommes perdus .	we re lost .
nous sommes perdues .	we re lost .
nous sommes riches .	we re rich .
nous sommes en securite .	we re safe .
on est foutu .	we re sunk .
nous sommes foutus .	we re sunk .
nous sommes faibles .	we re weak .
tu es vilain .	you re bad .
tu es grand .	you re big .
tu es grande .	you re big .
vous etes grand .	you re big .
vous etes grande .	you re big .
vous etes grands .	you re big .
vous etes grandes .	you re big .
t es marrante .	you re fun .
t es marrant .	you re fun .
tu es vieux .	you re old .
tu es vieille .	you re old .
vous etes vieux .	you re old .
vous etes vieilles .	you re old .
vous etes vieille .	you re old .
tu es triste .	you re sad .
vous etes triste .	you re sad .
tu es timide .	you re shy .
vous etes timide .	you re shy .
il est ivre .	he is drunk .
il est soul .	he is drunk .
il a huit ans .	he is eight .
il est hai .	he is hated .
il est mechant .	he is nasty .
il est intelligent .	he is smart .
il est jeune .	he is young .
il loucha .	he squinted .
il a louche .	he squinted .
il se mit debout .	he stood up .
il se dressa .	he stood up .
il s est leve .	he stood up .
c est un beau mec .	he s a hunk .
c est un beau gosse .	he s a hunk .
c est un pauvre type .	he s a jerk .
c est un menteur .	he s a liar .
c est un binoclard .	he s a nerd .
c est un flemmard .	he s a slob .
il est endormi .	he s asleep .
il arrive .	he s coming .
il est en train d arriver .	he s coming .
il est en train de pleurer .	he s crying .
il simule .	he s faking .
il est blinde .	he s loaded .
il est pete de thune .	he s loaded .
il est plein aux as .	he s loaded .
il a mon age .	he s my age .
il n est pas chez lui .	he s not in .
il n est pas a l interieur .	he s not in .
il n est pas la .	he s not in .
je suis francais .	i am french .
je suis coreen .	i am korean .
je suis cuisinier .	i am a cook .
je suis un moine .	i am a monk .
je vais mieux .	i am better .
je suis mieux .	i am better .
j arrive .	i am coming .
j ai faim !	i am hungry .
je plaisante .	i am joking .
je suis celibataire .	i am single .
je suis plus grand .	i am taller .
j ai merde .	i messed up .
j ai foire .	i messed up .
j ai degueulasse .	i messed up .
j ai sali .	i messed up .
j ai mis la pagaille .	i messed up .
j ai mis le souk .	i messed up .
il me faut obeir .	i must obey .
je dois obeir .	i must obey .
j ai egalement dix sept ans .	i m too .
je suis finlandais .	i m finnish .
je suis finlandaise .	i m finnish .
je suis italien .	i m italian .
je suis boulanger .	i m a baker .
je suis boulangere .	i m a baker .
je suis tout a fait pret .	i m all set .
je suis tout a fait prete .	i m all set .
j ai honte .	i m ashamed .
je suis a la maison .	i m at home .
je suis dans la maison .	i m at home .
je suis perplexe .	i m baffled .
je suis beni .	i m blessed .
je suis benie .	i m blessed .
je suis prudent .	i m careful .
je suis prudente .	i m careful .
je suis sur .	i m certain .
je suis certain .	i m certain .
j ai les foies .	i m chicken .
j ai les chocottes .	i m chicken .
j ai raison .	i m correct .
je suis curieux .	i m curious .
je suis curieuse .	i m curious .
je suis en train de danser .	i m dancing .
je suis au regime .	i m dieting .
je suis en train de conduire .	i m driving .
je conduis .	i m driving .
je suis fiance .	i m engaged .
je suis fiancee .	i m engaged .
je suis excite .	i m excited .
je suis excitee .	i m excited .
je fais la diete .	i m fasting .
je suis a la diete .	i m fasting .
je suis meticuleux .	i m finicky .
je suis meticuleuse .	i m finicky .
je suis affole .	i m frantic .
je suis affolee .	i m frantic .
je suis furieux .	i m furious .
je suis en bonne sante .	i m healthy .
je fredonne .	i m humming .
je suis veinard .	i m in luck .
je suis veinarde .	i m in luck .
je suis jalouse .	i m jealous .
j ai la frousse .	i m jittery .
je plaisante .	i m kidding .
je rigole !	i m kidding .
je pars .	i m leaving .
je suis marie .	i m married .
je suis mariee .	i m married .
je ne suis pas une idiote .	i m no fool .
je ne suis pas un heros .	i m no hero .
je ne suis pas un menteur .	i m no liar .
je ne suis pas gros .	i m not fat .
je ne suis pas fou .	i m not mad .
je ne suis pas folle .	i m not mad .
je ne suis pas vieux .	i m not old .
je ne suis pas vieille .	i m not old .
je ne suis pas triste .	i m not sad .
je ne suis pas timide .	i m not shy .
je suis en service .	i m on duty .
je suis patiente .	i m patient .
je suis patient .	i m patient .
je suis populaire .	i m popular .
je suis remonte .	i m psyched .
je suis voyant .	i m psychic .
je suis voyante .	i m psychic .
je suis perplexe .	i m puzzled .
je lis .	i m reading .
je suis detendu .	i m relaxed .
je suis detendue .	i m relaxed .
je suis retraite .	i m retired .
je suis retraitee .	i m retired .
je suis pensionne .	i m retired .
je suis pensionnee .	i m retired .
je suis egoiste .	i m selfish .
je suis serieux .	i m serious .
je suis choque .	i m shocked .
je suis choquee .	i m shocked .
je suis sincere .	i m sincere .
je suis bourre .	i m sloshed .
je suis bourree .	i m sloshed .
je suis tellement rassasie .	i m so full .
je meurs de faim !	i m starved .
j ai l estomac dans les talons .	i m starved .
j ai la dalle .	i m starved .
j ai les crocs .	i m starved .
je reste .	i m staying .
je suis gave .	i m stuffed .
je suis gavee .	i m stuffed .
je suis sidere .	i m stunned .
je suis sideree .	i m stunned .
je suis en train de discuter .	i m talking .
je taquine .	i m teasing .
j ai soif .	i m thirsty .
j en ai fini .	i m through .
j en ai termine .	i m through .
je suis trop gros .	i m too fat .
je suis touche .	i m touched .
je suis touchee .	i m touched .
je suis mecontent .	i m unhappy .
je suis mecontente .	i m unhappy .
j ai la schcoumoune .	i m unlucky .
je suis fortune .	i m wealthy .
je suis fortunee .	i m wealthy .
je gagne .	i m winning .
je l emporte .	i m winning .
je suis en train de travailler .	i m working .
je me fais du souci .	i m worried .
elle n a pas de charme .	she is curt .
elle est morte .	she is dead .
elle est gentille .	she is kind .
elle est en retard .	she is late .
c est une enfoiree .	she s a dog .
c est un renard .	she s a fox .
ils sont mauvais .	they re bad .
elles sont mauvaises .	they re bad .
ils sont vieux .	they re old .
elles sont vieilles .	they re old .
nous sommes quittes .	we are even .
nous sommes a egalite .	we are even .
nous sommes ici .	we are here .
nous y sommes .	we are here .
nous sommes en retard .	we are late .
nous nous souvenons .	we remember .
nous nous en souvenons .	we remember .
nous sommes seuls .	we re alone .
nous sommes seules .	we re alone .
nous sommes en colere .	we re angry .
nous sommes armes .	we re armed .
nous sommes armees .	we re armed .
nous nous ennuyons .	we re bored .
on s emmerde .	we re bored .
nous sommes fauches .	we re broke .
nous sommes fauchees .	we re broke .
on est fauches .	we re broke .
nous sommes en train de mourir .	we re dying .
nous sommes en avance .	we re early .
nous y allons .	we re going .
nous sommes heureux .	we re happy .
nous sommes pretes .	we re ready .
nous sommes sauves .	we re saved .
nous sommes sauvees .	we re saved .
nous sommes intelligents .	we re smart .
nous sommes intelligentes .	we re smart .
nous sommes desoles .	we re sorry .
nous sommes desolees .	we re sorry .
nous sommes coinces .	we re stuck .
nous sommes coincees .	we re stuck .
nous sommes fatigues .	we re tired .
nous sommes fatiguees .	we re tired .
nous sommes jumeaux .	we re twins .
nous sommes jumelles .	we re twins .
tu es grand .	you are big .
tu es grande .	you are big .
vous etes grand .	you are big .
vous etes grande .	you are big .
vous etes grands .	you are big .
vous etes grandes .	you are big .
tu es fou .	you are mad .
tu es de retour .	you re back .
vous etes de retour .	you re back .
t es sympa .	you re cool .
t es decontracte .	you re cool .
tu es juste .	you re fair .
vous etes juste .	you re fair .
vous etes justes .	you re fair .
tu vas bien .	you re fine .
tu es libre .	you re free .
vous etes libres .	you re free .
vous etes libre .	you re free .
vous etes bon .	you re good .
vous etes bonne .	you re good .
vous etes bons .	you re good .
vous etes bonnes .	you re good .
tu es bon .	you re good .
tu es bonne .	you re good .
t es bon .	you re good .
t es bonne .	you re good .
tu es gentil .	you re kind .
tu es gentille .	you re kind .
tu es paresseux .	you re lazy .
tu es paresseuse .	you re lazy .
vous etes paresseux .	you re lazy .
vous etes paresseuses .	you re lazy .
vous etes paresseuse .	you re lazy .
tu es perdu .	you re lost .
tu es perdue .	you re lost .
t es sympa .	you re nice .
vous etes sympa .	you re nice .
vous etes sympas .	you re nice .
tu es fou !	you re nuts !
t es dingue !	you re nuts !
vous etes dingue !	you re nuts !
vous etes dingues !	you re nuts !
t es givre !	you re nuts !
t es givree !	you re nuts !
vous etes givre !	you re nuts !
vous etes givree !	you re nuts !
vous etes givres !	you re nuts !
vous etes givrees !	you re nuts !
tu es riche .	you re rich .
vous etes riche .	you re rich .
vous etes riches .	you re rich .
tu es grossier .	you re rude .
vous etes grossiers .	you re rude .
vous etes grossiere .	you re rude .
vous etes grossieres .	you re rude .
tu es grossiere .	you re rude .
tu es en securite .	you re safe .
vous etes en securite .	you re safe .
tu es sauf .	you re safe .
vous etes saufs .	you re safe .
vous etes sauf .	you re safe .
vous etes sauve .	you re safe .
vous etes sauves .	you re safe .
tu es sauve .	you re safe .
vous etes malade !	you re sick !
tu es malade !	you re sick !
vous etes malade !	you re sick !
tu es mince .	you re thin .
vous etes mince .	you re thin .
vous etes minces .	you re thin .
tu es faible .	you re weak .
vous etes faible .	you re weak .
vous etes faibles .	you re weak .
c est un poete .	he is a poet .
il est poete .	he is a poet .
il est endormi .	he is asleep .
il est excentrique .	he is cranky .
il est en train de manger .	he is eating .
il est heroique .	he is heroic .
il n est pas chez lui .	he is not in .
il n est pas a l interieur .	he is not in .
il doit mourir .	he shall die .
il est anglais .	he s english .
c est un bigot .	he s a bigot .
c est un sectaire .	he s a bigot .
c est un fanatique .	he s a bigot .
c est un illumine .	he s a bigot .
il souffre .	he s in pain .
il est marie .	he s married .
c est mon heros .	he s my hero .
il est actuellement a l exterieur .	he s out now .
il est si mignon !	he s so cute .
il est tellement mignon !	he s so cute .
je suis italien .	i am italian .
j ai honte .	i am ashamed .
je suis a la maison .	i am at home .
je suis curieux .	i am curious .
je suis mariee .	i am married .
je suis tellement malade .	i am so sick .
je suis si malade .	i am so sick .
c est moi qui suis tellement malade .	i am so sick .
c est moi qui suis si malade .	i am so sick .
j ai soif .	i am thirsty .
je suis en train de travailler .	i am working .
j ai effectue un pari .	i made a bet .
j ai elabore des plans .	i made plans .
j ai fait des projets .	i made plans .
j ai fait ceux ci .	i made these .
j ai fait celles ci .	i made these .
j ai confectionne ceux ci .	i made these .
il se pourrait que je reste .	i might stay .
tu m as manque .	i missed you .
je dois me grouiller .	i must hurry .
je dois me depecher .	i must hurry .
je dois me hater .	i must hurry .
il me faut partir .	i must leave .
je dois partir .	i must leave .
je dois etudier .	i must study .
je suis un couard .	i m a coward .
je suis un lache .	i m a coward .
je suis medecin .	i m a doctor .
je suis toubib .	i m a doctor .
je suis fermier .	i m a farmer .
je suis agriculteur .	i m a farmer .
je travaille dans ma ferme .	i m a farmer .
je suis un agriculteur .	i m a farmer .
je suis un puriste .	i m a purist .
je suis drogue .	i m addicted .
je suis accro .	i m addicted .
j ai une assuetude .	i m addicted .
j ai tout fini .	i m all done .
j ai tout termine .	i m all done .
je suis tout ouie .	i m all ears .
je suis adulte .	i m an adult .
je suis un agent .	i m an agent .
je suis en train de saigner .	i m bleeding .
je me melange les pinceaux .	i m confused .
je suis creatif .	i m creative .
je suis creative .	i m creative .
je suis cultive .	i m cultured .
je suis cultivee .	i m cultured .
je suis divorce .	i m divorced .
je suis divorcee .	i m divorced .
je suis en train de me noyer .	i m drowning .
j ai dix huit ans .	i m eighteen .
je suis fidele .	i m faithful .
je suis affame !	i m famished .
je suis intrepide .	i m fearless .
je me bats .	i m fighting .
j ai termine .	i m finished .
j en ai termine .	i m finished .
je suis libre maintenant .	i m free now .
je suis gele .	i m freezing .
je suis cloue .	i m grounded .
je suis clouee .	i m grounded .
je suis credule .	i m gullible .
j ai le mal du pays .	i m homesick .
j ai la gueule de bois .	i m hungover .
je suis a paris .	i m in paris .
je suis innocent .	i m innocent .
je suis innocente .	i m innocent .
je suis ingenu .	i m innocent .
je suis ingenue .	i m innocent .
je suis implique .	i m involved .
je suis impliquee .	i m involved .
je m en sors .	i m managing .
je suis nouveau ici .	i m new here .
je ne suis pas un rebelle .	i m no rebel .
je ne suis pas un saint .	i m no saint .
je ne suis pas une sainte .	i m no saint .
je ne suis pas occupe .	i m not busy .
je ne suis pas sourd .	i m not deaf .
je ne suis pas sourde .	i m not deaf .
je n ai pas fini .	i m not done .
je n ai pas termine .	i m not done .
je n en ai pas termine .	i m not done .
je ne suis pas abruti .	i m not dumb .
je ne suis pas abrutie .	i m not dumb .
je ne suis pas mauvais .	i m not evil .
je ne suis pas ici .	i m not here .
je ne suis pas la .	i m not here .
je ne suis pas chez moi .	i m not home .
je ne suis pas a la maison .	i m not home .
je ne suis pas blesse .	i m not hurt .
je ne suis pas blessee .	i m not hurt .
je ne suis pas mechant .	i m not mean .
je ne suis pas mechante .	i m not mean .
je ne suis pas riche .	i m not rich .
je n en suis pas certain .	i m not sure .
je n en suis pas certaine .	i m not sure .
je ne suis pas grand .	i m not tall .
je ne suis pas grande .	i m not tall .
je ne suis pas laid .	i m not ugly .
je ne suis pas laide .	i m not ugly .
je ne vais pas bien .	i m not well .
je ne suis pas en service .	i m off duty .
je suis offense .	i m offended .
je suis offensee .	i m offended .
je suis indigne .	i m outraged .
je suis indignee .	i m outraged .
je suis puissant .	i m powerful .
je suis puissante .	i m powerful .
je suis pret .	i m prepared .
je suis preparee .	i m prepared .
je suis prepare .	i m prepared .
je suis ponctuel .	i m punctual .
je suis ponctuelle .	i m punctual .
je suis rationnel .	i m rational .
je suis rationnelle .	i m rational .
je me suis amende .	i m reformed .
je me suis amendee .	i m reformed .
je suis fiable .	i m reliable .
je ne tiens pas en place .	i m restless .
je suis impitoyable .	i m ruthless .
je tire .	i m shooting .
je suis en train de dormir .	i m sleeping .
je suis tellement desole !	i m so sorry .
je suis tellement desolee !	i m so sorry .
je suis si fatigue !	i m so tired !
je suis tellement las !	i m so tired !
je suis en train de parler .	i m speaking .
je meurs de faim !	i m starving !
je creve de faim !	i m starving .
j ai la fringale .	i m starving .
je suis tetu .	i m stubborn .
je suis tetue .	i m stubborn .
je suis obstine .	i m stubborn .
je suis obstinee .	i m stubborn .
c est moi le patron .	i m the boss .
c est moi la patronne .	i m the boss .
je suis le patron .	i m the boss .
je suis la patronne .	i m the boss .
je reflechis .	i m thinking .
je suis minutieux .	i m thorough .
je suis minutieuse .	i m thorough .
je suis consciencieux .	i m thorough .
je suis consciencieuse .	i m thorough .
je suis ravi .	i m thrilled .
je suis ravie .	i m thrilled .
je suis chatouilleux .	i m ticklish .
je suis chatouilleuse .	i m ticklish .
je suis trop occupe .	i m too busy .
je suis trop occupee .	i m too busy .
je suis trop affaire .	i m too busy .
je suis trop affairee .	i m too busy .
je dis la verite .	i m truthful .
je suis impartial .	i m unbiased .
je suis impartiale .	i m unbiased .
je suis au dessus .	i m upstairs .
je suis tres gros .	i m very fat .
je suis tres gras .	i m very fat .
je suis tres triste .	i m very sad .
je suis tres timide .	i m very shy .
je suis epuise .	i m worn out .
c est un renard .	she is a fox .
elle est chanceuse .	she is lucky .
elle est chancarde .	she is lucky .
elle est tranquille .	she is quiet .
elle est tranchante .	she is sharp .
elle est affutee .	she is sharp .
elle a tort .	she is wrong .
elle est jeune .	she is young .
elle lui tira dessus .	she shot him .
elle le descendit .	she shot him .
elle a crie .	she shrieked .
elle cria .	she shrieked .
elle se leva .	she stood up .
elle l a poursuivi en justice .	she sued him .
elle le poursuivit en justice .	she sued him .
elle lui a fait un proces .	she sued him .
elle lui fit un proces .	she sued him .
ils ont refuse .	they refused .
elles ont refuse .	they refused .
ils se sont detendus .	they relaxed .
elles se sont detendues .	they relaxed .
ils sont de retour .	they re back .
elles sont de retour .	they re back .
ce sont des garcons .	they re boys .
ils sont froids .	they re cold .
elles sont froides .	they re cold .
ils sont sympa .	they re cool .
elles sont sympa .	they re cool .
ce sont des flics .	they re cops .
ils sont mignons .	they re cute .
elles sont mignonnes .	they re cute .
ils sont decedes .	they re dead .
elles sont decedees .	they re dead .
ils ont termine .	they re done .
elles ont termine .	they re done .
ils sont libres .	they re free .
elles sont libres .	they re free .
ils sont partis .	they re gone .
elles sont parties .	they re gone .
il n y en a plus .	they re gone .
ils sont la .	they re here .
ils sont a moi .	they re mine .
ils sont miens .	they re mine .
ce sont les miens .	they re mine .
ce sont les miennes .	they re mine .
elles sont miennes .	they re mine .
elles sont a moi .	they re mine .
ils sont riches .	they re rich .
elles sont riches .	they re rich .
ils sont faibles .	they re weak .
elles sont faibles .	they re weak .
nous sommes arabes .	we are arabs .
nous sommes heureux .	we are happy .
nous sommes une equipe .	we re a team .
nous sommes des adultes .	we re adults .
nous allons tous bien .	we re all ok .
nous sommes en guerre .	we re at war .
notre point de vue est biaise .	we re biased .
nous avons des prejuges .	we re biased .
nous achetons .	we re buying .
nous sommes fermes .	we re closed .
nous venons .	we re coming .
nous sortons ensemble .	we re dating .
nous sommes condamnes .	we re doomed .
nous nous cachons .	we re hiding .
nous sommes a l interieur .	we re inside .
nous plaisantons .	we re joking .
nous perdons .	we re losing .
nous sommes en train de perdre .	we re losing .
nous sommes en train de bouger .	we re moving .
nous sommes normaux .	we re normal .
nous sommes normales .	we re normal .
nous sommes en train de payer .	we re paying .
nous sommes creves .	we re pooped .
nous sommes crevees .	we re pooped .
nous sommes ruines .	we re ruined .
nous sommes ruinees .	we re ruined .
nous sommes remues .	we re shaken .
nous sommes remuees .	we re shaken .
nous sommes sournois .	we re sneaky .
nous sommes sournoises .	we re sneaky .
nous sommes forts .	we re strong .
nous sommes fortes .	we re strong .
nous essayons .	we re trying .
vous etes bon .	you are good .
vous etes bonne .	you are good .
vous etes bons .	you are good .
vous etes bonnes .	you are good .
tu es bon .	you are good .
tu es bonne .	you are good .
tu es en retard .	you are late .
vous etes en retard .	you are late .
vous etes riches .	you are rich .
tu joues au chef .	you re bossy .
tu fais le chef .	you re bossy .
tu es fou .	you re crazy .
tu es cruelle .	you re cruel .
tu es cruel .	you re cruel .
vous etes cruelle .	you re cruel .
vous etes cruelles .	you re cruel .
vous etes cruel .	you re cruel .
vous etes cruels .	you re cruel .
tu viens tot .	you re early .
vous etes matinal .	you re early .
vous etes matinale .	you re early .
tu es matinal .	you re early .
tu es matinale .	you re early .
tu es en avance .	you re early .
vous etes en avance .	you re early .
tu es vire .	you re fired .
tu es licencie .	you re fired .
tu es en premier .	you re first .
tu passes en premier .	you re first .
vous etes en premier .	you re first .
t es marrante .	you re funny .
t es marrant .	you re funny .
vous etes marrants .	you re funny .
vous etes marrantes .	you re funny .
vous etes marrant .	you re funny .
vous etes marrante .	you re funny .
tu es difficile .	you re fussy .
tu fais des manieres .	you re fussy .
vous faites des manieres .	you re fussy .
tu es malpoli !	you re gross !
tu mens !	you re lying !
vous mentez !	you re lying !
vous mentez .	you re lying .
tu es lunatique .	you re moody .
tu es naif .	you re naive .
tu es naive .	you re naive .
vous etes naif .	you re naive .
vous etes naive .	you re naive .
vous etes naifs .	you re naive .
vous etes naives .	you re naive .
tu es calme .	you re quiet .
tu es tranquille .	you re quiet .
tu as raison .	you re right .
tu es idiot .	you re silly .
vous etes idiot .	you re silly .
vous etes idiote .	you re silly .
tu es idiote .	you re silly .
vous etes idiots .	you re silly .
vous etes idiotes .	you re silly .
t es plante .	you re stuck .
t es plantee .	you re stuck .
vous etes plantes .	you re stuck .
vous etes plantees .	you re stuck .
vous etes plantee .	you re stuck .
vous etes plante .	you re stuck .
tu es dure .	you re tough .
tu es dur .	you re tough .
vous etes dur .	you re tough .
vous etes dure .	you re tough .
vous etes durs .	you re tough .
vous etes dures .	you re tough .
tu es contrariee .	you re upset .
tu es contrarie .	you re upset .
tu es bizarre .	you re weird .
vous etes bizarre .	you re weird .
vous etes bizarres .	you re weird .
tu es dans l erreur .	you re wrong .
tu as tort .	you re wrong .
tu es jeune .	you re young .
vous etes jeune .	you re young .
vous etes jeunes .	you re young .
il est britannique .	he is british .
il est anglais .	he is english .
c est un voleur .	he is a thief .
il est idiot .	he is foolish .
c est mon patron .	he is my boss .
il est mon genre !	he is my type !
il n est pas idiot .	he is no fool .
il n est pas fou .	he is no fool .
il est actuellement sorti .	he is out now .
il lit .	he is reading .
il est en train de lire .	he is reading .
il court .	he is running .
il fait du patin .	he is skating .
il patine .	he is skating .
il est trop vieux .	he is too old .
il a l air gentil .	he seems kind .
il vend des voitures .	he sells cars .
il me tira dessus .	he shot at me .
il pue .	he smells bad .
c est un rouspeteur .	he s a grouch .
il est jesuite .	he s a jesuit .
c est un aine .	he s a senior .
c est un ancien .	he s a senior .
c est un retraite .	he s a senior .
c est un magnat .	he s a tycoon .
il est accro .	he s addicted .
il a une assuetude .	he s addicted .
il est drogue .	he s addicted .
il est adorable .	he s adorable .
il est derriere moi .	he s after me .
il est apres moi .	he s after me .
il est apres mes fesses .	he s after me .
il me poursuit .	he s after me .
il est embetant .	he s annoying .
il est fou .	he s demented .
il est a tokyo .	he s in tokyo .
il est innocent .	he s innocent .
il est ingenu .	he s innocent .
il est peu sur de lui .	he s insecure .
il manque de confiance en lui .	he s insecure .
